2025-02-19 10:00:54,499 - evaluate - INFO - Evaluate Model: MAE: 1209.1311154945317, MSE: 6105567.270026586, R2: 0.9655901828520297 


2025-02-19 10:01:46,902 - evaluate - INFO - Evaluate Model: MAE: 1209.1311154945317, MSE: 6105567.270026586, R2: 0.9655901828520297 


2025-02-19 11:20:32,299 - evaluate - INFO - Evaluate Model: MAE: 6246.017513457774, MSE: 61151475.83597223, R2: 0.6553619002489234 


2025-02-19 11:21:46,579 - evaluate - INFO - Evaluate Model: MAE: 1517.492163595297, MSE: 6919016.249370455, R2: 0.9610057389501768 


2025-02-19 11:22:44,483 - evaluate - INFO - Evaluate Model: MAE: 6100.239435356078, MSE: 58451616.91805535, R2: 0.6705777921688943 


2025-02-19 11:23:51,183 - evaluate - INFO - Evaluate Model: MAE: 1209.1311154945317, MSE: 6105567.270026586, R2: 0.9655901828520297 


2025-02-19 11:25:37,179 - evaluate - INFO - Evaluate Model: MAE: 1209.1311154945317, MSE: 6105567.270026586, R2: 0.9655901828520297 


2025-02-19 11:26:11,218 - evaluate - INFO - Evaluate Model: MAE: 1209.1311154945317, MSE: 6105567.270026586, R2: 0.9655901828520297 


2025-02-19 11:26:46,636 - evaluate - INFO - Evaluate Model: MAE: 1209.1311154945317, MSE: 6105567.270026586, R2: 0.9655901828520297 


2025-02-19 11:27:21,012 - evaluate - INFO - Evaluate Model: MAE: 1209.1311154945317, MSE: 6105567.270026586, R2: 0.9655901828520297 


2025-02-19 11:28:34,802 - evaluate - INFO - Evaluate Model: MAE: 6100.239435356078, MSE: 58451616.91805535, R2: 0.6705777921688943 


2025-02-19 13:52:41,326 - evaluate - INFO - Evaluate Model: MAE: 6100.239435356078, MSE: 58451616.91805535, R2: 0.6705777921688943 


2025-02-19 13:53:24,452 - evaluate - INFO - Evaluate Model: MAE: 6100.239435356078, MSE: 58451616.91805535, R2: 0.6705777921688943 


2025-02-19 13:54:08,163 - evaluate - INFO - Evaluate Model: MAE: 6100.239435356078, MSE: 58451616.91805535, R2: 0.6705777921688943 


